企業名,法人番号,マイナビ掲載,採用担当者名,担当者確度,担当者根拠,部署,メール,電話番号,採用予定人数,卒年,採用ページURL,取得日
星和電機株式会社,1130001038463,○,,,マイナビ掲載確認(担当者名は非公開),,,0774-55-8181,,2026,https://job.mynavi.jp/27/pc/search/corp4747/outline.html,2026-06-30
株式会社第一ビルデイング,1010001065445,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社ＹＤＫテクノロジーズ,1021001022880,○,,,マイナビ掲載確認(担当者名は非公開),人財総務部,saiyo@ydktechs.co.jp,03-3225-5350,16,2026,https://job.mynavi.jp/27/pc/search/corp7575/outline.html,2026-06-30
ＡＧＳ株式会社,2030001000011,○,,,マイナビ掲載確認(担当者名は非公開),株式会社人事部,agssaiyo.ml@ags.co.jp,048-825-6000,41,2026,https://job.mynavi.jp/27/pc/search/corp80326/outline.html,2026-06-30
協和ビル管理株式会社,2040001001784,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
鈴与商事株式会社,1080001002318,○,,,マイナビ掲載確認(担当者名は非公開),,,054-273-7759,,2026,https://job.mynavi.jp/27/pc/search/corp50283/outline.html,2026-06-30
日精樹脂工業株式会社,1100001011530,○,,,マイナビ掲載確認(担当者名は非公開),,,0268-81-1005,,2026,https://job.mynavi.jp/27/pc/search/corp85167/outline.html,2026-06-30
株式会社タナカ,1050001010075,○,,,マイナビ掲載確認(担当者名は非公開),,,029-862-1234,,2026,https://job.mynavi.jp/27/pc/search/corp85598/outline.html,2026-06-30
商船三井ロジスティクス株式会社,1010001012546,○,,,マイナビ掲載確認(担当者名は非公開),人事総務部,,03-6731-7500,11,2026,https://job.mynavi.jp/27/pc/search/corp69113/outline.html,2026-06-30
阪神警備保障株式会社,1120001031502,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
太陽管財株式会社,1030001005250,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社スマイル企画,1290001045015,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
滋賀ダイハツ販売株式会社,1160001013406,○,,,マイナビ掲載確認(担当者名は非公開),,,077-551-0081,,2026,https://job.mynavi.jp/27/pc/search/corp67908/outline.html,2026-06-30
イリソ電子工業株式会社,1020001053696,○,,,マイナビ掲載確認(担当者名は非公開),人事課,jinji@iriso.co.jp,045-478-3111,16,2026,https://job.mynavi.jp/27/pc/search/corp13959/outline.html,2026-06-30
ユー・エム・シー・エレクトロニクス株式会社,1030001044117,○,,,マイナビ掲載確認(担当者名は非公開),人事総務部,m-yazawa@umc.co.jp,048-724-0001,6,2026,https://job.mynavi.jp/27/pc/search/corp62123/outline.html,2026-06-30
株式会社マンダム,1120001090234,○,,,マイナビ掲載確認(担当者名は非公開),,,06-6767-5001,,2026,https://job.mynavi.jp/27/pc/search/corp8087/outline.html,2026-06-30
ダイナパック株式会社,1180001037535,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社ツツミ,2030001021115,○,,,マイナビ掲載確認(担当者名は非公開),人事部,saiyou-1@tsutsumi.co.jp,048-431-6691,51,2026,https://job.mynavi.jp/27/pc/search/corp57452/outline.html,2026-06-30
セブン工業株式会社,1200001017170,○,,,マイナビ掲載確認(担当者名は非公開),,,0574-28-7800,,2026,https://job.mynavi.jp/27/pc/search/corp57456/outline.html,2026-06-30
日本インシュレーション株式会社,1120001040610,○,,,マイナビ掲載確認(担当者名は非公開),,,06-6210-1253,,2026,https://job.mynavi.jp/27/pc/search/corp57225/outline.html,2026-06-30
株式会社関東甲信クボタ,1030001072877,○,塩谷,0.8,採用担当者メッセージから氏名抽出(employment.html),総務部,,048-767-3521,11,2026,https://job.mynavi.jp/27/pc/search/corp204020/outline.html,2026-06-30
東北アルフレッサ株式会社,2380001005082,○,,,マイナビ掲載確認(担当者名は非公開),,,022-290-8210,11,2026,https://job.mynavi.jp/27/pc/search/corp55325/outline.html,2026-06-30
日本ニューホランド株式会社,1430001021026,○,三橋,0.7,採用担当者メッセージから氏名抽出(employment.html),管理本部,,011-221-2130,36,2026,https://job.mynavi.jp/27/pc/search/corp61967/outline.html,2026-06-30
株式会社宮崎,1180001045546,○,,,マイナビ掲載確認(担当者名は非公開),,careers@satt.jp,03-5259-3390,,2026,https://job.mynavi.jp/27/pc/search/corp293537/outline.html,2026-06-30
セントラル総業株式会社,1020001067993,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
日本高周波鋼業株式会社,1010001016852,○,,,マイナビ掲載確認(担当者名は非公開),,,03-5687-6023,,2026,https://job.mynavi.jp/27/pc/search/corp54672/outline.html,2026-06-30
日本山村硝子株式会社,1140001054947,○,,,マイナビ掲載確認(担当者名は非公開),,,06-4300-6000,,2026,https://job.mynavi.jp/27/pc/search/corp88998/outline.html,2026-06-30
ハリマ共和物産株式会社,1140001060846,○,大原,0.7,採用担当者メッセージから氏名抽出(employment.html),,soumu@harimakb.co.jp,079-253-5217,11,2026,https://job.mynavi.jp/27/pc/search/corp20301/outline.html,2026-06-30
日本環境クリアー株式会社,2030001006446,○,荒木,0.7,採用担当者メッセージから氏名抽出(outline.html),,,048-658-0111,1,2026,https://job.mynavi.jp/27/pc/search/corp86259/outline.html,2026-06-30
三洋環境株式会社,1260001002712,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
トヨタカローラ新茨城株式会社,1050001001867,○,,,マイナビ掲載確認(担当者名は非公開),,,029-231-3351,6,2026,https://job.mynavi.jp/27/pc/search/corp61959/outline.html,2026-06-30
石福金属興業株式会社,1010001010624,○,,,マイナビ掲載確認(担当者名は非公開),,,03-3252-3131,,2026,https://job.mynavi.jp/27/pc/search/corp204294/outline.html,2026-06-30
林兼エスト株式会社,1290001009738,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社大伸,1140001013449,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
ＡＬＳＯＫ千葉株式会社,1040001008244,○,,,マイナビ掲載確認(担当者名は非公開),採用コールセンター,recruit@alsok.co.jp,043-275-7575,21,2026,https://job.mynavi.jp/27/pc/search/corp106893/outline.html,2026-06-30
日本紙通商株式会社,1010001045983,○,,,マイナビ掲載確認(担当者名は非公開),人事本部,jinji@np-t.co.jp,03-6665-7053,6,2026,https://job.mynavi.jp/27/pc/search/corp235178/outline.html,2026-06-30
株式会社東洋経済新報社,1010001051874,○,,,マイナビ掲載確認,,,,,2026,https://job.mynavi.jp/27/pc/search/corp67777/outline.html,2026-06-30
株式会社三橋商会,1120001090515,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社ＭＣエバテック,1140001048230,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
千葉ビル・メンテナンス株式会社,2040001054287,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
フロンティア・マネジメント株式会社,1010001121867,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社図研,2020001008807,○,,,マイナビ掲載確認(担当者名は非公開),図研人事部,recruit@zuken.co.jp,045-942-1511,16,2026,https://job.mynavi.jp/27/pc/search/corp9976/outline.html,2026-06-30
ジェイ・アール・シー特機株式会社,2020001020489,○,,,マイナビ掲載確認(担当者名は非公開),,,045-547-8572,21,2026,https://job.mynavi.jp/27/pc/search/corp89366/outline.html,2026-06-30
株式会社エス・ビー・エム,1080001009767,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
東濃建物管理株式会社,1200001017955,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
ジャパンマテリアル株式会社,2190001015191,○,,,マイナビ掲載確認(担当者名は非公開),,,059-399-3821,26,2026,https://job.mynavi.jp/27/pc/search/corp84816/outline.html,2026-06-30
熊本ダイハツ販売株式会社,3330001001507,○,,,マイナビ掲載確認(担当者名は非公開),,,096-354-3119,6,2026,https://job.mynavi.jp/27/pc/search/corp86793/outline.html,2026-06-30
サンセイ医機株式会社,1380001009159,○,野田,0.82,採用担当者メッセージから氏名抽出(outline.html),,,024-944-1157,6,2026,https://job.mynavi.jp/27/pc/search/corp98747/outline.html,2026-06-30
新常磐交通株式会社,2380001013060,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
キャタピラー九州株式会社,1290001079293,○,,,マイナビ掲載確認(担当者名は非公開),本社業務部総務人事課,ck_recruit@catkyushu.jp,092-924-1211,11,2026,https://job.mynavi.jp/27/pc/search/corp75525/outline.html,2026-06-30
明星工業株式会社,1120001049032,○,福井,0.7,採用担当者メッセージから氏名抽出(employment.html),東京本部,,06-6447-0271,11,2026,https://job.mynavi.jp/27/pc/search/corp10005/outline.html,2026-06-30
大阪有機化学工業株式会社,1120001093014,○,,,マイナビ掲載確認(担当者名は非公開),,,06-6264-5071,6,2026,https://job.mynavi.jp/27/pc/search/corp58074/outline.html,2026-06-30
笹徳印刷株式会社,1180001069322,○,,,マイナビ掲載確認(担当者名は非公開),,saiyou@sasatoku.co.jp,0562-98-3334,6,2026,https://job.mynavi.jp/27/pc/search/corp106319/outline.html,2026-06-30
株式会社ニチダイ,2130001038818,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
東北特殊鋼株式会社,2370001002444,○,,,マイナビ掲載確認(担当者名は非公開),,,0224-82-1010,1,2026,https://job.mynavi.jp/27/pc/search/corp82778/outline.html,2026-06-30
マスプロ電工株式会社,1180001067276,○,,,マイナビ掲載確認(担当者名は非公開),,,052-802-2222,,2026,https://job.mynavi.jp/27/pc/search/corp2223/outline.html,2026-06-30
ホシザキ北九株式会社,1290001016577,○,,,マイナビ掲載確認(担当者名は非公開),総務人事課,kitakyu-saiyou@hoshizaki.co.jp,092-471-7396,11,2026,https://job.mynavi.jp/27/pc/search/corp84324/outline.html,2026-06-30
株式会社セイビ九州,1290001014110,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社クリーンコーポレーション,1430001005061,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
ミツワ電機株式会社,1010001058408,○,,,マイナビ掲載確認(担当者名は非公開),,recruit@mitsuwadenki.co.jp,03-6693-0842,,2026,https://job.mynavi.jp/27/pc/search/corp50967/outline.html,2026-06-30
東洋炭素株式会社,1120001050238,○,,,マイナビ掲載確認,,,,,2026,https://job.mynavi.jp/27/pc/search/corp78199/outline.html,2026-06-30
株式会社翻訳センター,1120001089458,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
ＪＦＥ東日本ジーエス株式会社,1020001072119,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社日興商会,1140001050558,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
ニチコン株式会社,2130001022029,○,,,マイナビ掲載確認(担当者名は非公開),,,075-231-8461,,2026,https://job.mynavi.jp/27/pc/search/corp1054/outline.html,2026-06-30
ワールドビジネスセンター株式会社,2130001012070,○,,,マイナビ掲載確認(担当者名は非公開),,,075-662-1200,,2026,https://job.mynavi.jp/27/pc/search/corp68892/outline.html,2026-06-30
田辺薬局株式会社,1010001090468,○,,,マイナビ掲載確認(担当者名は非公開),,,03-5565-7840,6,2026,https://job.mynavi.jp/27/pc/search/corp73356/outline.html,2026-06-30
中国塗料株式会社,1240001028478,○,,,マイナビ掲載確認(担当者名は非公開),,,0827-57-8555,,2026,https://job.mynavi.jp/27/pc/search/corp53617/outline.html,2026-06-30
株式会社有沢製作所,1110001018789,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
環境をサポートする株式会社きらめき,1110001001720,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社共和コーポレーション,1100001000797,○,長谷川 山口,0.7,採用担当者メッセージから氏名抽出(employment.html),人事総務部,hasegawas@kyowa-corp.co.jp,026-227-1301,6,2026,https://job.mynavi.jp/27/pc/search/corp76387/outline.html,2026-06-30
株式会社ＵＬ　Ｊａｐａｎ,1190001006514,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
昭和コンクリート工業株式会社,2200001002601,○,,,マイナビ掲載確認(担当者名は非公開),,,058-255-3333,19,2026,https://job.mynavi.jp/27/pc/search/corp218649/outline.html,2026-06-30
株式会社扇港電機,2190001015290,○,,,マイナビ掲載確認(担当者名は非公開),,,059-353-1711,,2026,https://job.mynavi.jp/27/pc/search/corp73035/outline.html,2026-06-30
タカラバイオ株式会社,1160001002490,○,,,マイナビ掲載確認(担当者名は非公開),ラバイオ株式会社人事部,bio-jinji@takara-bio.co.jp,077-567-9267,16,2026,https://job.mynavi.jp/27/pc/search/corp106622/outline.html,2026-06-30
株式会社近畿予防医学研究所,2160001000535,○,,,マイナビ掲載確認(担当者名は非公開),,,0775-22-7601,,2026,https://job.mynavi.jp/27/pc/search/corp276011/outline.html,2026-06-30
株式会社新来島どっく,1010001045595,○,,,マイナビ掲載確認(担当者名は非公開),総務部,jinzai@skdy.co.jp,0898-36-5511,26,2026,https://job.mynavi.jp/27/pc/search/corp98792/outline.html,2026-06-30
福島日産自動車株式会社,2380001001511,○,,,マイナビ掲載確認(担当者名は非公開),,,024-572-7399,,2026,https://job.mynavi.jp/27/pc/search/corp54480/outline.html,2026-06-30
株式会社スマイルクルー,1020001094146,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社京滋マツダ,2130001024529,○,,,マイナビ掲載確認(担当者名は非公開),,,075-314-3751,,2026,https://job.mynavi.jp/27/pc/search/corp79401/outline.html,2026-06-30
南北ビルセイビ株式会社,1120001039363,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社嘉文,1180001014286,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社近藤紡績所,1180001035935,○,,,マイナビ掲載確認(担当者名は非公開),,,052-221-5121,,2026,https://job.mynavi.jp/27/pc/search/corp100701/outline.html,2026-06-30
ラブリー株式会社,1020001012776,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
中央精版印刷株式会社,1030001020480,○,,,マイナビ掲載確認(担当者名は非公開),,,048-421-1611,,2026,https://job.mynavi.jp/27/pc/search/corp274562/outline.html,2026-06-30
阪神高速トール神戸株式会社,1140001028546,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
アーキスプランニング株式会社,1130001004300,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社成基,1130001003203,○,,,マイナビ掲載確認(担当者名は非公開),,,075-256-8851,,2026,https://job.mynavi.jp/27/pc/search/corp52059/outline.html,2026-06-30
株式会社ルルアーク,1290001003427,○,,,マイナビ掲載確認(担当者名は非公開),,,092-611-5221,6,2026,https://job.mynavi.jp/27/pc/search/corp70478/outline.html,2026-06-30
株式会社ニューオータニ九州,1290001010423,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
積水ハウス建設九州株式会社,1290001017773,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社大富,1290001036286,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社あいネットサービス,1080001002251,○,,,マイナビ掲載確認(担当者名は非公開),総務人事部,soumu@mail.aigsite.jp,054-285-1414,11,2026,https://job.mynavi.jp/27/pc/search/corp206052/outline.html,2026-06-30
株式会社中島屋ホテルズ,1080001002895,○,,,マイナビ掲載確認(担当者名は非公開),,jinji@sn-hotels.com,054-253-1151,6,2026,https://job.mynavi.jp/27/pc/search/corp108697/outline.html,2026-06-30
清和海運株式会社,1080001008463,○,,,マイナビ掲載確認(担当者名は非公開),,,054-288-2741,,2026,https://job.mynavi.jp/27/pc/search/corp67574/outline.html,2026-06-30
株式会社ユーマート,1080001009379,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社明乳松浦,1240001032356,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
おのみちバス株式会社,1240001039244,○,稲野辺,0.8,採用担当者メッセージから氏名抽出(outline.html),,,0848-46-4301,,2026,https://job.mynavi.jp/27/pc/search/corp272156/outline.html,2026-06-30
仙台交通株式会社,1370001002420,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
国分東北株式会社,1370001001380,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
弘進ゴム株式会社,1370001002973,○,,,マイナビ掲載確認(担当者名は非公開),,,022-214-3011,,2026,https://job.mynavi.jp/27/pc/search/corp238421/outline.html,2026-06-30
株式会社加賀田組,1110001001051,○,,,マイナビ掲載確認(担当者名は非公開),,,025-247-5171,,2026,https://job.mynavi.jp/27/pc/search/corp96767/outline.html,2026-06-30
日軽新潟株式会社（閉鎖）,1110001006604,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社ワイエムフーズ,1110001011546,○,,,マイナビ掲載確認(担当者名は非公開),,,0250-67-2821,,2026,https://job.mynavi.jp/27/pc/search/corp290538/outline.html,2026-06-30
株式会社津山商店,1110001026412,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社クリエイティブヨーコ,1100001000847,○,,,マイナビ掲載確認(担当者名は非公開),,,026-226-2309,1,2026,https://job.mynavi.jp/27/pc/search/corp95901/outline.html,2026-06-30
マルイチ・ロジスティクス・サービス株式会社,1100001004732,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
アート梱包運輸株式会社,1100001010739,○,,,マイナビ掲載確認(担当者名は非公開),,,0268-67-0345,,2026,https://job.mynavi.jp/27/pc/search/corp234218/outline.html,2026-06-30
多摩川マイクロテップ株式会社,1100001022305,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社喜久家,1200001001546,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社オオケン,1240001001765,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
株式会社安永,1190001008733,○,,,マイナビ掲載確認(担当者名は非公開),,,0595-24-2111,,2026,https://job.mynavi.jp/27/pc/search/corp65009/outline.html,2026-06-30
ジョルジオアルマーニジャパン株式会社,1010001019962,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
大阪エムケイ株式会社,1120001036971,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
スバル東海株式会社,1180001013049,○,,,マイナビ掲載確認(担当者名は非公開),管理本部,saiyou@tokai.subaru.co.jp,052-901-8611,26,2026,https://job.mynavi.jp/27/pc/search/corp58978/outline.html,2026-06-30
中電不動産株式会社,1180001016200,○,,,マイナビ掲載確認(担当者名は非公開),,,052-204-1466,1,2026,https://job.mynavi.jp/27/pc/search/corp111288/outline.html,2026-06-30
株式会社大同ライフサービス,1180001014798,,,,マイナビ検索ヒット無し,,,,,,,2026-06-30
