企業名,法人番号,採用担当者名,融合確度,一致ソース数,クロス検証,寄与ソース,役職,部署,根拠URL,根拠,公式URL,取得日
ＷＩＬＬＥＲ　ＴＲＡＩＮＳ株式会社,1120001185166,飯島 徹,0.725,1,,公式HP(自社サイト),代表,,https://trains.willer.co.jp/recruit-info/,代表取締役飯島 徹,https://trains.willer.co.jp/recruit-info/,2026-07-05
株式会社電算情報技研,1120001045519,妹尾 均,0.665,1,,公式HP(自社サイト),代表,,https://densanjoho.co.jp/company/,"代表者名
 代表取締役社長　妹尾 均",https://densanjoho.co.jp/,2026-07-05
株式会社テクノプラスト,1180001010624,中村 明,0.725,1,,公式HP(自社サイト),代表,,https://technoplast.co.jp/company/,"代表者
 中村　明",https://technoplast.co.jp/,2026-07-05
株式会社蒲郡クラシックホテル,1080401018707,,,,,,,,,,https://gamagori-classic-hotel.com/recruit/,2026-07-05
京都エレクトロン株式会社,1130001035551,西田 弘之,0.725,1,,公式HP(自社サイト),代表,,https://kyoto-electron.co.jp/company/companyoutline/,"代表者
代表取締役社長　西田 弘之",https://kyoto-electron.co.jp/,2026-07-05
株式会社平成調剤薬局,2200001004647,大橋 哲也,0.725,1,,公式HP(自社サイト),代表,,http://heisei-ph-recruit.com/profile/,代表取締役大橋哲也,http://heisei-ph-recruit.com/profile/,2026-07-05
株式会社エコワーク,1080001012936,原 元晴が,0.725,1,,公式HP(自社サイト),代表,,https://ecowork.co.jp/company/index.html,原元晴が代表取締役,https://ecowork.co.jp/,2026-07-05
棚田建材株式会社,1140001003672,,,,,,,,,,https://tanadakenzai.co.jp/,2026-07-05
株式会社タキズミ,1010001004642,吉森 豊,0.665,1,,公式HP(自社サイト),代表,,https://www.takizumi.com/company/,"代表取締役社長
 吉森 豊",https://www.takizumi.com/,2026-07-05
錦電サービス株式会社,1010001014591,河野 朗,0.725,1,,公式HP(自社サイト),代表,,http://www.kinden-service.co.jp/profile.html,"代表者
 代表取締役 河野　朗",http://www.kinden-service.co.jp/,2026-07-05
菱中建設株式会社,1430001053630,,,,,,,,,,https://www.hisinaka.jp/,2026-07-05
大東プレス工業株式会社,1120001002107,,,,,,,,,,http://www.daito-press.co.jp/,2026-07-05
株式会社イング,1120001037350,大澤,0.665,1,,公式HP(自社サイト),代表,,http://www.ing-edu.com/about/,代表者代表取締役社長　大澤,http://www.ing-edu.com/,2026-07-05
株式会社山口製作所,1240001024840,,,,,,,,,,https://www.yamaguchi1965.jp/,2026-07-05
エブリ株式会社,1120001041939,成田 昌浩,0.765,1,,公式HP(自社サイト),代表,,https://www.every365.co.jp/recruit/,代表取締役社長成田 昌浩,https://www.every365.co.jp/,2026-07-05
丸一海運株式会社,1120001028168,,,,,,,,,,https://www.mkc-net.co.jp/index.html,2026-07-05
サンタクシー株式会社,1020001026768,馬場 正治,0.725,1,,公式HP(自社サイト),代表,,https://suntaxi.com/about/profile/,"代表者
 
代表取締役社長　馬場 正治",https://suntaxi.com/,2026-07-05
株式会社山之内製作所,1020001024697,山内 英圓,0.725,1,,公式HP(自社サイト),代表,,https://www.ysec.jp/company/,"代表者
代表取締役　山内 英圓",https://www.ysec.jp/,2026-07-05
トナミ国際物流株式会社,1020001028054,吉田 博之,0.725,1,,公式HP(自社サイト),代表,,https://www.tglc.co.jp/company/profile/,"代表者
代表取締役社長　吉田　博之",https://www.tglc.co.jp/,2026-07-05
株式会社ミキ,1180001015631,,,,,,,,,,http://kurumaisu-miki.co.jp/,2026-07-05
株式会社大宮國際ゴルフ場,1030001001530,,,,,,,,,,https://www.okcc.co.jp/,2026-07-05
株式会社モリテックス,1013301029292,,,,,,,,,,https://www.moritex.co.jp/,2026-07-05
山二ガス株式会社,1030001025232,相田 昇三,0.665,1,,公式HP(自社サイト),代表,,https://www.yamani-gas.jp/message,代表取締役　相田　昇三,https://www.yamani-gas.jp/,2026-07-05
株式会社愛工舎製作所,1030001020860,牛窪 洋光,0.665,1,,公式HP(自社サイト),代表,,https://aicohsha.co.jp/company/about/,"代表取締役社長
牛窪 洋光",https://aicohsha.co.jp/,2026-07-05
西部スチール株式会社,1030001045370,天野 裕之,0.725,1,,公式HP(自社サイト),代表,,https://www.seibustl.jp/company/,代表取締役天野裕之,https://www.seibustl.jp/,2026-07-05
株式会社サン精密化工研究所,1030001030736,村上 守,0.725,1,,公式HP(自社サイト),代表,,https://www.sanseimitsu.co.jp/company,代表取締役社長　村上　守,https://www.sanseimitsu.co.jp/,2026-07-05
株式会社ケーズネットワーク,1040001009548,山友浩司,0.665,1,,公式HP(自社サイト),代表,,https://ksnetwork.co.jp/about/,"代表者
 代表取締役　山友浩司",http://ksnetwork.co.jp/,2026-07-05
株式会社埼玉県魚市場,1030001003411,,,,,,,,,,https://saitamauoiti.co.jp/,2026-07-05
株式会社ＹＫＫ　ＡＰラクシー,1040001037227,細田,0.665,1,,公式HP(自社サイト),代表,,https://www.ruxy.co.jp/company/summary.html,代表取締役会長：細田,https://www.ruxy.co.jp/,2026-07-05
東武レジャー企画株式会社,1030001052086,,,,,,,,,,https://www.tobuzoo.com/,2026-07-05
株式会社ベールヘルツ,1040001039421,田島 康史,0.725,1,,公式HP(自社サイト),代表,,https://veilherz-mirai.jp/company,"代表者
代表取締役  田島 康史",https://veilherz-mirai.jp/,2026-07-05
株式会社シーエス,1040001022311,大竹 啓介,0.725,1,,公式HP(自社サイト),代表,,https://cs-ltd.info/company/,代表取締役　大竹 啓介,https://cs-ltd.info/company/,2026-07-05
サンコーテック株式会社,1040001053975,高橋 桂,0.725,1,,公式HP(自社サイト),代表,,https://www.sankotech.co.jp/company_profile/index.html,"代表取締役 
 髙橋　桂",https://www.sankotech.co.jp/,2026-07-05
株式会社ニューオークボ,1040001066226,,,,,,,,,,https://nama-pasta.com/,2026-07-05
株式会社イシド,1040001043786,石戸謙一,0.665,1,,公式HP(自社サイト),代表,,https://www.soroban.co.jp/company/outline/,石戸謙一／代表取締役,https://www.soroban.co.jp/,2026-07-05
株式会社ＫＨＫ野田,1040001071192,小原 敏治,0.725,1,,公式HP(自社サイト),代表,,https://www.khknoda.co.jp/,"代表者
代表取締役社長 小原敏治",https://www.khknoda.co.jp/,2026-07-05
日本ジッパーチュービング株式会社,1140001012228,槌橋 貴彦,0.665,1,,公式HP(自社サイト),代表,,https://www.ztj.co.jp/company/iso,代表取締役社長　槌橋　貴彦,https://www.ztj.co.jp/,2026-07-05
富士臨海株式会社,1040001051194,,,,,,,,,,http://www.fujirinkai.co.jp/,2026-07-05
株式会社シンク・ラボラトリー,1040001065715,重田 核,0.725,1,,公式HP(自社サイト),代表,,https://www.think-lab.com/about/,代表取締役　重田 核,https://www.think-lab.com/,2026-07-05
株式会社玉屋,1130001011148,川島 康司,0.725,1,,公式HP(自社サイト),代表,,https://www.tamaya-net.co.jp/company,代表取締役社長 川島康司,https://www.tamaya-net.co.jp/,2026-07-05
エイチ・ワイ・ホスピタリティ・エンタープライズ株式会社,1140001021641,,,,,,,,,,http://www.kobe-kitanohotel.co.jp/,2026-07-05
山中産業株式会社,1130001002130,鈴木 基伸,0.725,1,,公式HP(自社サイト),代表,,https://yamanaka-sangyo.jp/company/,代表取締役社長鈴木 基伸,https://yamanaka-sangyo.jp/,2026-07-05
株式会社ＩＺＵＳＨＩ,1130001006858,,,,,,,,,,https://www.ztec-izushi.co.jp/,2026-07-05
京都グレインシステム株式会社,1130001019513,浜田 大祐,0.725,1,,公式HP(自社サイト),代表,,https://www.kyoto-grain.co.jp/company.html,"代表者
代表取締役社長　濱田 大祐",https://www.kyoto-grain.co.jp/,2026-07-05
株式会社西村製作所,1130001011395,,,,,,,,,,https://www.ns-slitter.co.jp/,2026-07-05
日本タブレット株式会社,1130001032540,藤川 真志,0.725,1,,公式HP(自社サイト),代表,,https://japan-tab.com/greeting/,"代表取締役社長
藤川 真志",https://japan-tab.com/,2026-07-05
株式会社ジー・エス・タカハシ,1290001007857,高橋 浩,0.725,1,,公式HP(自社サイト),代表,,https://www.gs-takahashi.co.jp/outline.html,"代表取締役会長
 
 髙橋　浩",https://www.gs-takahashi.co.jp/,2026-07-05
株式会社よーじや,1130001023052,國枝 昂,0.665,1,,公式HP(自社サイト),代表,,https://www.yojiya.co.jp/company,代表取締役 國枝 昂,https://www.yojiya.co.jp/,2026-07-05
株式会社フォーカート,1290001011322,浅川 龍,0.665,1,,公式HP(自社サイト),代表,,https://www.folkart.co.jp/company,"代表者
代表取締役社長　浅川 龍",https://www.folkart.co.jp/,2026-07-05
西部ガス都市開発株式会社,1290001014052,松田 和久,0.725,1,,公式HP(自社サイト),代表,,https://www.sg-ud.co.jp/company/profile.php https://www.sg-ud.co.jp/company/,代表取締役社長　松田　和久,https://www.sg-ud.co.jp/,2026-07-05
文化タクシー株式会社,1290001004805,,,,,,,,,,https://bunka-taxi.co.jp/,2026-07-05
株式会社鈴木東建,1430001011282,鈴木 寛之,0.725,1,,公式HP(自社サイト),代表,,https://suzukitoken.jp/aboutus/company/,"代表者
 代表取締役社長 鈴木 寛之",https://suzukitoken.jp/,2026-07-05
丸水札幌中央水産株式会社,1430001023716,山内 俊克,0.725,1,,公式HP(自社サイト),代表,,https://www.marusui-net.co.jp/greetings/,代表取締役社長執行役員山内　俊克,https://www.marusui-net.co.jp/,2026-07-05
株式会社北海道ニッスイ,1430001037996,岡本 裕之,0.765,1,,公式HP(自社サイト),代表,,https://www.do-nissui.co.jp/recruit/,代表取締役社長岡本裕之,https://www.do-nissui.co.jp/,2026-07-05
三和陸運株式会社,1290001020273,,,,,,,,,,https://www.sanwa-express.com/,2026-07-05
野口リゾートマネジメント株式会社,1430001058043,野口 和秀,0.725,1,,公式HP(自社サイト),代表,,https://www.noguchi-g.com/outline/,"代表者
 代表取締役社長　野口 和秀",https://www.noguchi-g.com/,2026-07-05
愛工業株式会社,1080001000024,杉山 顕一郎,0.725,1,,公式HP(自社サイト),代表,,https://aikogyo.co.jp/outline/,"代表者
杉山顕一郎",https://aikogyo.co.jp/principle/,2026-07-05
株式会社ＦＰコーポレーション,1430001040158,五十嵐 健,0.725,1,,公式HP(自社サイト),代表,,https://www.fpcorp.co.jp/company/,代表取締役　五十嵐　健,https://www.fpcorp.co.jp/,2026-07-05
株式会社なすび,1080001008843,,,,,,,,,,https://www.nasubi-ltd.co.jp/,2026-07-05
株式会社メガロ静岡,1080001008356,久野 善正,0.725,1,,公式HP(自社サイト),代表,,https://www.megashizu.info/company/message/,代表取締役　久野 善正,https://www.megashizu.info/,2026-07-05
安全ガード株式会社,1080101006838,浅倉 幸久,0.665,1,,公式HP(自社サイト),代表,,http://www.anzen-guard.jp/about.html,"代表者
代表取締役 浅倉 幸久",http://www.anzen-guard.jp/,2026-07-05
株式会社イワサキ経営,1080101002531,前原,0.735,1,,公式HP(自社サイト),採用担当,,https://www.tax-iwasaki.com/recruit/,採用担当：前原,https://www.tax-iwasaki.com/,2026-07-05
四国パック株式会社,1080101010617,植田 滋,0.665,1,,公式HP(自社サイト),代表,,https://www.shikokupak.co.jp/company/,"代表者
 代表取締役社長　植田 滋",https://www.shikokupak.co.jp/,2026-07-05
株式会社リカバリー,1080001012416,,,,,,,,,,https://recovery-sh.jp/,2026-07-05
株式会社カネトモ,1080001014718,萩原,0.735,1,,公式HP(自社サイト),採用担当,,https://kanetomo.com/recruit/application-guidelines/,採用担当　萩原,https://kanetomo.com/,2026-07-05
広島荷役株式会社,1240001009544,戸田 武志,0.665,1,,公式HP(自社サイト),代表,,https://hi-niyaku.co.jp/about/,"代表取締役社長
 戸田 武志",https://hi-niyaku.co.jp/,2026-07-05
日産部品山陽販売株式会社,1240001008538,福島 康弘,0.725,1,,公式HP(自社サイト),代表,,https://buhin.nissan.co.jp/SANYO/OVERVIEW/,"代表者
 福島　康弘",https://buhin.nissan.co.jp/SANYO/,2026-07-05
株式会社うなぎ藤田浜松店,1080401000664,,,,,,,,,,https://www.unagifujita.com/,2026-07-05
広島プラスチック株式会社,1240001022662,青木 育朗,0.725,1,,公式HP(自社サイト),代表,,https://www.hiropla.co.jp/about/,"代表者
 青木 育朗",https://www.hiropla.co.jp/,2026-07-05
山陽マシン株式会社,1240001033016,牧平 満,0.665,1,,公式HP(自社サイト),代表,,http://www.sanyomachine.co.jp/company.html,代表取締役牧平 満,http://www.sanyomachine.co.jp/,2026-07-05
株式会社いでしたケアサービス,1240001020781,,,,,,,,,,https://ideshita-care.jp/,2026-07-05
株式会社深松組,1370001010035,深松努 他,0.665,1,,公式HP(自社サイト),代表,,https://fukamatsugumi.co.jp/company/,代表取締役社長　深松努　他,https://fukamatsugumi.co.jp/,2026-07-05
株式会社若柳タムラ製作所,1370201003037,柿内 直也,0.665,1,,公式HP(自社サイト),代表,,https://wakayanagitamura.com/company/,"代表者
代表取締役社長柿内　直也",https://wakayanagitamura.com/,2026-07-05
株式会社緒方製作所,1370201000075,伊藤 武利,0.725,1,,公式HP(自社サイト),代表,,https://www.ogata-ss.jp/company,代表取締役社長　伊藤　武利,https://www.ogata-ss.jp/,2026-07-05
株式会社帝産キャブ仙台,1370001005596,,,,,,,,,,https://www.teisantaxi.jp/,2026-07-05
株式会社阿部善商店,1370601000030,阿部 善久,0.725,1,,公式HP(自社サイト),代表,,https://abezen.co.jp/company-about/,"代表者
代表取締役社長　阿部善久",https://abezen.co.jp/,2026-07-05
株式会社プラス・アルトラ,1370001013401,,,,,,,,,,http://plus-altra.co.jp/,2026-07-05
株式会社愛工大興,2013301006753,佐藤 敏之,0.725,1,,公式HP(自社サイト),代表,,https://www.ai-taikoh.co.jp/company/,"代表者
代表取締役社長　佐藤　敏之",https://www.ai-taikoh.co.jp/csr/,2026-07-05
株式会社三ツ葉パーツ,1110001008344,泉正宗,0.665,1,,公式HP(自社サイト),代表,,https://mitsubah.com/company1.html,代表者 代表取締役　泉正宗,https://mitsubah.com/,2026-07-05
株式会社飯塚鉄工所,1110001017147,飯塚 肇,0.765,1,,公式HP(自社サイト),代表,,https://www.e-iizuka.co.jp/qms_recruit/,代表取締役飯塚 肇,https://www.e-iizuka.co.jp/,2026-07-05
ダイエープロビス株式会社,1110001022741,権瓶 浩司,0.665,1,,公式HP(自社サイト),代表,,https://www.daiei-probis.com/message/,代表取締役 権瓶 浩司,https://www.daiei-probis.com/,2026-07-05
株式会社国土,2110001000044,梨本 貴幸,0.725,1,,公式HP(自社サイト),代表,,https://www.k-kokudo.co.jp/company/,代表取締役会長梨本　貴幸,https://www.k-kokudo.co.jp/,2026-07-05
菊水酒造株式会社,1110001012552,,,,,,,,,,http://www.kikusui-sake.com/home/jp/,2026-07-05
株式会社萩田換地,1110001027666,萩田絢也,0.665,1,,公式HP(自社サイト),代表,,https://www.hagita-kanchi.co.jp/,"代表者
 萩田絢也",https://www.hagita-kanchi.co.jp/,2026-07-05
株式会社ＡＮＸ,1100001009475,若林 順平,0.725,1,,公式HP(自社サイト),代表,,https://anx.inc/about,"代表取締役社長
 若林 順平",https://anx.inc/,2026-07-05
山崎工業株式会社,1110001017650,,,,,,,,,,https://yamazakikogyo.co.jp/,2026-07-05
株式会社カヤマ,1100001011472,小宮山 俊夫,0.725,1,,公式HP(自社サイト),代表,,http://www.kayama-sakaki.co.jp/outline/about-us.php,"代表者
小宮山 俊夫",http://www.kayama-sakaki.co.jp/,2026-07-05
株式会社大成,1100001021281,田中 実,0.725,1,,公式HP(自社サイト),代表,,https://www.sakura-kobo.co.jp/company/profile/,"代表者
代表取締役社長　田中実",https://www.sakura-kobo.co.jp/,2026-07-05
中央アルプス観光株式会社,1100001021298,小田 切,0.765,1,,公式HP(自社サイト),採用担当,,https://chuo-alps.com/recruit/,採用担当：小田切,https://www.chuo-alps.com/,2026-07-05
株式会社諏訪三社電機,1100001029622,大村 剛史,0.725,1,,公式HP(自社サイト),代表,,https://www.suwa.sansha.co.jp/overview.html,"代表者
 大村 剛史",https://www.suwa.sansha.co.jp/,2026-07-05
株式会社天龍,1100001022593,塩澤 直人,0.665,1,,公式HP(自社サイト),代表,,https://www.tenryu-magna.com/aboutus.html,"代表者名
 塩澤　直人",https://www.tenryu-magna.com/,2026-07-05
信越電線株式会社,1100001009806,,,,,,,,,,https://www.shinetsudensen.com/,2026-07-05
高安株式会社,1200001007238,髙安彰,0.665,1,,公式HP(自社サイト),代表,,https://www.takayasu-rf.co.jp/company/ecology/,代表取締役社長　髙安彰,https://www.takayasu-rf.co.jp/,2026-07-05
亀山建設株式会社,1200001019051,亀山 直央,0.665,1,,公式HP(自社サイト),代表,,http://www.e-kameyama.jp/profile/,代表取締役　亀山　直央,http://www.e-kameyama.jp/,2026-07-05
株式会社ヨシケイ岐阜,1200001012675,,,,,,,,,,https://yoshikei-it.com/,2026-07-05
新東海ダイカスト工業株式会社,1200001019778,松岡 弘明,0.725,1,,公式HP(自社サイト),代表,,http://stdc.co.jp/about/,代表取締役会長　松岡弘明,http://stdc.co.jp/,2026-07-05
株式会社タカコム,1200001022121,中尾 正人,0.725,1,,公式HP(自社サイト),代表,,https://www.takacom.co.jp/company/profile.html,"代表者
代表取締役社長　中尾正人",https://www.takacom.co.jp/,2026-07-05
日建ヘルスメディカル株式会社,2200001006180,林 芳弘,0.725,1,,公式HP(自社サイト),代表,,http://www.gifu-healthmedical.jp/company.html,"代表者
代表取締役　林　芳弘",http://www.gifu-healthmedical.jp/,2026-07-05
恵那ダンボール株式会社,1200001023664,町野正博,0.665,1,,公式HP(自社サイト),代表,,http://www.enadan.co.jp/company/president,代表取締役社長　町野正博,http://www.enadan.co.jp/,2026-07-05
内藤電機株式会社,2200001003806,内藤 恵介,0.725,1,,公式HP(自社サイト),代表,,https://www.naito-ec.co.jp/company/,"代表者
代表取締役社長 内藤 恵介",https://www.naito-ec.co.jp/,2026-07-05
株式会社廣瀨,1110001000103,広瀬 徳男,0.725,1,,公式HP(自社サイト),代表,,https://www.n-hirose.co.jp/company/message/ https://www.n-hirose.co.jp/company/overview/,"代表取締役
廣瀬 徳男",https://www.n-hirose.co.jp/,2026-07-05
株式会社青山メインランド,1010001008998,西原 良三,0.725,1,,公式HP(自社サイト),代表,,https://www.aml.co.jp/,代表取締役　西原 良三,https://www.aml.co.jp/,2026-07-05
