アポ期待度,優先度,確信度,なぜ今なぜこの企業,INT,SIZE,REACH,TIM,TRUST,採点根拠,企業名,法人番号,採用担当者名,役職,部署,代表者名,メール,メール確度,担当者確度,電話番号,公式URL,Tier,取得元媒体,根拠URL,架電呼称,業種,都道府県,従業員数,補助金,設立年,取得日,新卒フラグ,新卒出稿,現在求人掲載中,掲載媒体,掲載媒体数,出稿媒体数,採用中,求人件数,採用予定人数,募集職種数,採用職種,職種,採用ページ有無,採用ページURL,新卒言及,発見媒体,辞退シグナル,採用ページ更新,出稿増,来期検討,プレスリリース,競合ATS導入,ICPランク,セグメント区分,採用担当者名取得元,架電宛名,NG一致名
66,ナーチャリング,73,新卒フラグ確定｜規模653=大手寄り(競合ATS懸念)｜電話妥当｜6月=28卒設計期係数92,93,20,68,92,50,INT:新卒フラグ確定 / INT:募集職種4=選考管理が複雑 / SIZE:規模653=大手寄り(競合ATS懸念) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92,株式会社日阪製作所,1120001087750,,,,宇佐美俊哉,info@hisaka.co.jp,0.4,,06-6363-0006,https://www.hisaka.co.jp/,C,gBizINFO,https://www.hisaka.co.jp/,人事部 ご採用ご担当者様,産業機械製造販売,大阪府大阪市北区曾根崎２丁目１２番７号,653,,,2026-06-14T18:25:45.989Z,○,,,,0,,,,,,,エンジニア/営業/介護/看護,○,https://www.hisaka.co.jp/recruiting/career.html,○,,,,,,,,A(300-1000),不人気:メーカー,,人事部 ご採用ご担当者様,株式会社日阪製作所
66,ナーチャリング,73,新卒フラグ確定｜規模587=大手寄り(競合ATS懸念)｜電話妥当｜6月=28卒設計期係数92,93,20,68,92,50,INT:新卒フラグ確定 / INT:募集職種4=選考管理が複雑 / SIZE:規模587=大手寄り(競合ATS懸念) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92,新日本建設株式会社,2040001003186,,,,髙見克司,info@shinnihon-c.co.jp,0.4,,043-213-1111,https://www.shinnihon-c.co.jp/,C,gBizINFO,https://www.shinnihon-c.co.jp/,人事部 ご採用ご担当者様,総合建設業、不動産開発事業,千葉県千葉市美浜区ひび野１丁目４番３,587,,,2026-06-14T18:27:22.404Z,○,,,,0,,,,,,,営業/企画/施工管理/販売,○,https://www.shinnihon-c.co.jp/recruit/career.php,○,,,,,,,,A(300-1000),不人気:建設住宅設備,,人事部 ご採用ご担当者様,新日本建設株式会社
66,ナーチャリング,74,新卒フラグ確定｜規模730=大手寄り(競合ATS懸念)｜電話妥当｜6月=28卒設計期係数92,88,20,68,92,80,INT:新卒フラグ確定 / SIZE:規模730=大手寄り(競合ATS懸念) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立47年=継続採用の体力,株式会社昭和メディカルサイエンス,1010001112338,,,,氏家永一郎,info@sms.co.jp,0.4,,042-795-6000,https://www.sms.co.jp/,C,gBizINFO,https://www.sms.co.jp/,人事部 ご採用ご担当者様,臨床検査受託業,東京都千代田区麹町４丁目７番５号,730,,1979,2026-06-14T18:27:49.896Z,○,,,,0,,,,,,,営業,○,https://www.sms.co.jp/recruit/,○,,,,,,,,A(300-1000),セグメント外判定(緩め採用),,人事部 ご採用ご担当者様,株式会社昭和メディカルサイエンス
65,ナーチャリング,73,新卒フラグ確定｜規模732=大手寄り(競合ATS懸念)｜電話妥当｜6月=28卒設計期係数92,88,20,68,92,50,INT:新卒フラグ確定 / SIZE:規模732=大手寄り(競合ATS懸念) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92,株式会社京進,1130001017021,,,,立木康之,,0,,075-365-1500,https://group.kyoshin.co.jp/,C,gBizINFO,https://group.kyoshin.co.jp/,人事部 ご採用ご担当者様,【私たちは、全従業員の物心両面の豊かさを追求するとともに、日本と世界の教育・文化の向上、社会の進歩と善良化に貢献します】,京都府京都市下京区烏丸通五条下る大坂町３８２番地１,732,,,2026-06-14T18:24:56.442Z,○,,,,0,,,,,,,介護,○,https://group.kyoshin.co.jp/recruit/,○,,,,,,,,A(300-1000),toC:サービス,,人事部 ご採用ご担当者様,株式会社京進
65,ナーチャリング,73,新卒フラグ確定｜規模691=大手寄り(競合ATS懸念)｜電話妥当｜6月=28卒設計期係数92,88,20,68,92,50,INT:新卒フラグ確定 / SIZE:規模691=大手寄り(競合ATS懸念) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92,株式会社サイネックス,1120001079723,,,,村田吉優,info@scinex.co.jp,0.4,,06-6766-3333,https://www.scinex.co.jp/,C,gBizINFO,https://www.scinex.co.jp/,人事部 ご採用ご担当者様,広告業、出版業、印刷業、情報関連事業,大阪府大阪市天王寺区上本町５丁目３番１５号,691,,,2026-06-14T18:25:43.555Z,○,,,,0,,,,,,,,○,https://www.scinex.co.jp/recruitment/new-graduate/,○,,,,,,,,A(300-1000),不人気:メーカー,,人事部 ご採用ご担当者様,株式会社サイネックス
55,ナーチャリング,63,採用ページのみ(代理推定)｜規模320=中堅(自前管理化が進む)｜電話妥当｜6月=28卒設計期係数92,40,40,68,92,80,INT:採用ページのみ(代理推定) / SIZE:規模320=中堅(自前管理化が進む) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立36年=継続採用の体力,株式会社ケイテック,1140001007384,,,,北野正巳,info@ktec-akashi.co.jp,0.4,,078-921-1438,https://www.ktec-akashi.co.jp/,C,gBizINFO,https://www.ktec-akashi.co.jp/,人事部 ご採用ご担当者様,モータサイクル及びジェットスキー等カワサキ製品の３Ｄモデリング、サービスマニュアル制作、ＣＧ制作、システム開発・運用・保,兵庫県明石市川崎町１番１号,320,,1990,2026-06-14T18:24:42.785Z,,,,,0,,,,,,,,○,https://www.ktec-akashi.co.jp/recruit/index.html,,,,,,,,,A(300-1000),不人気:ソフト通信,,人事部 ご採用ご担当者様,株式会社ケイテック
55,ナーチャリング,63,採用ページのみ(代理推定)｜規模378=中堅(自前管理化が進む)｜電話妥当｜6月=28卒設計期係数92,40,40,68,92,80,INT:採用ページのみ(代理推定) / SIZE:規模378=中堅(自前管理化が進む) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立31年=継続採用の体力,株式会社エラン,1100001014640,,,,峯崎友宏,info@kkelan.com,0.4,,0263-30-1564,https://www.kkelan.com/,C,gBizINFO,https://www.kkelan.com/,人事部 ご採用ご担当者様,入院セット「CSセット」の提供,長野県松本市出川町１５番１２号,378,,1995,2026-06-14T18:32:35.323Z,,,,,0,,,,,,,事務,○,https://www.kkelan.com/contact/recruit/,,,,,,,,,A(300-1000),セグメント外判定(緩め採用),,人事部 ご採用ご担当者様,株式会社エラン
53,ナーチャリング,61,採用ページのみ(代理推定)｜規模444=中堅(自前管理化が進む)｜電話妥当｜6月=28卒設計期係数92,40,40,68,92,50,INT:採用ページのみ(代理推定) / SIZE:規模444=中堅(自前管理化が進む) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92,サンコーテクノ株式会社,2040001040188,,,,洞下英人,info@sanko-techno.co.jp,0.4,,04-7157-3535,https://sanko-techno.co.jp/,C,gBizINFO,https://sanko-techno.co.jp/,人事部 ご採用ご担当者様,建設資材（あと施工アンカー・ドリルビット・ファスナー等）、複合材、防水材、各種測定器の企画開発・製造・販売・施工および輸,千葉県流山市南流山３丁目１０番地１６,444,,,2026-06-14T18:27:28.532Z,,,,,0,,,,,,,,○,https://sanko-techno-recruit.com/career/,,,,,,,,,A(300-1000),不人気:メーカー,,人事部 ご採用ご担当者様,サンコーテクノ株式会社
52,ナーチャリング,61,採用ページのみ(代理推定)｜規模450=中堅(自前管理化が進む)｜電話妥当｜6月=28卒設計期係数92,40,40,60,92,50,INT:採用ページのみ(代理推定) / SIZE:規模450=中堅(自前管理化が進む) / REACH:電話妥当 / TIM:6月=28卒設計期係数92,株式会社アース,1080001011764,,,,,info@earth-group.co.jp,0.4,,0120-233-140,https://earth-group.co.jp/saiyou/,D,gBizINFO,https://earth-group.co.jp/saiyou/,人事部 ご採用ご担当者様,〇介護保険関連事業 介護付有料老人ホーム/訪問介護/通所介護/ 居宅介護支援/グループホーム/ 福祉用具貸与・販売・住宅,静岡県静岡市葵区呉服町１丁目３０番地札の辻クロス２Ｆ,450,,,2026-06-14T18:58:24.388Z,,,,,,,,,,,,,,,,,,,,,,,A(300-1000),不人気:建設住宅設備,,人事部 ご採用ご担当者様,株式会社アース
50,ナーチャリング,60,採用ページのみ(代理推定)｜規模689=大手寄り(競合ATS懸念)｜電話妥当｜6月=28卒設計期係数92,40,20,68,92,80,INT:採用ページのみ(代理推定) / SIZE:規模689=大手寄り(競合ATS懸念) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立62年=継続採用の体力,アイコム株式会社,1120001019349,,,,中岡洋詞,info@icom.co.jp,0.4,,0120-156-313,https://www.icom.co.jp/,C,gBizINFO,https://www.icom.co.jp/,人事部 ご採用ご担当者様,無線通信機器、ネットワーク機器等の製造、販売,大阪府大阪市平野区加美鞍作１丁目６番１９号,689,,1964,2026-06-14T18:23:33.565Z,,,,,0,,,,,,,,○,https://www.icom.co.jp/job/recruit/,,,,,,,,,A(300-1000),不人気:メーカー,,人事部 ご採用ご担当者様,アイコム株式会社
50,ナーチャリング,60,採用ページのみ(代理推定)｜規模665=大手寄り(競合ATS懸念)｜電話妥当｜6月=28卒設計期係数92,40,20,68,92,80,INT:採用ページのみ(代理推定) / SIZE:規模665=大手寄り(競合ATS懸念) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立77年=継続採用の体力,株式会社モロオ,1430001017032,,,,師尾忠和,info@moroo.co.jp,0.4,,011-618-2323,https://www.moroo.co.jp/,C,gBizINFO,https://www.moroo.co.jp/,人事部 ご採用ご担当者様,○医薬品、検査試薬、健康食品、ＯＡ機器の卸売販売 ○コンピューターシステム・ソフト開発および販売 ○福祉用具のレン,北海道札幌市中央区北三条西１５丁目１番地の５０,665,,1949,2026-06-14T18:24:30.295Z,,,,,0,,,,,,,,○,https://recruit.moroo.co.jp/news/career-msls/,,,,,,,,,A(300-1000),toC:メーカー,,人事部 ご採用ご担当者様,株式会社モロオ
50,ナーチャリング,60,採用ページのみ(代理推定)｜規模502=大手寄り(競合ATS懸念)｜電話妥当｜6月=28卒設計期係数92,40,20,68,92,80,INT:採用ページのみ(代理推定) / SIZE:規模502=大手寄り(競合ATS懸念) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立78年=継続採用の体力,丸彦渡辺建設株式会社,2430001023599,,,,鵜飼勇人,info@maruhiko.co.jp,0.4,,011-811-8121,https://www.maruhiko.co.jp/,C,gBizINFO,https://www.maruhiko.co.jp/,人事部 ご採用ご担当者様,建設業,北海道札幌市豊平区豊平六条６丁目５番８号,502,,1948,2026-06-14T18:26:41.759Z,,,,,0,,,,,,,営業/事務,○,https://www.maruhiko.co.jp/recruit,,,,,,,,,A(300-1000),不人気:建設住宅設備,,人事部 ご採用ご担当者様,丸彦渡辺建設株式会社
50,ナーチャリング,60,採用ページのみ(代理推定)｜規模713=大手寄り(競合ATS懸念)｜電話妥当｜6月=28卒設計期係数92,40,20,68,92,80,INT:採用ページのみ(代理推定) / SIZE:規模713=大手寄り(競合ATS懸念) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立56年=継続採用の体力,株式会社ぎょうせい,1010001100425,,,,西本功二,info@gyosei.jp,0.4,,0120-953-431,https://gyosei.jp/,C,gBizINFO,https://gyosei.jp/,人事部 ご採用ご担当者様,●図書総合 法令関連の書籍を中心に、時宜にかなった書籍を企画・編集・出版 ●システム 法令・例規関連システムをはじめ,東京都中央区銀座７丁目４番１２号,713,,1970,2026-06-14T18:27:43.184Z,,,,,0,,,,,,,,○,https://gyosei.jp/recruit/,,,,,,,,,A(300-1000),不人気:ソフト通信,,人事部 ご採用ご担当者様,株式会社ぎょうせい
50,ナーチャリング,60,採用ページのみ(代理推定)｜規模548=大手寄り(競合ATS懸念)｜電話妥当｜6月=28卒設計期係数92,40,20,68,92,80,INT:採用ページのみ(代理推定) / SIZE:規模548=大手寄り(競合ATS懸念) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立34年=継続採用の体力,新安全警備保障株式会社,1050001004969,,,,小俣力男,info@shinanzenkeibi.com,0.4,,029-304-1851,https://shinanzenkeibi.com/,C,gBizINFO,https://shinanzenkeibi.com/,人事部 ご採用ご担当者様,警備業,茨城県水戸市吉沢町３５７番地の１,548,,1992,2026-06-14T18:34:09.047Z,,,,,0,,,,,,,介護/販売,○,https://shinanzenkeibi.com/recruit/,,,,,,,,,A(300-1000),セグメント外判定(緩め採用),,人事部 ご採用ご担当者様,新安全警備保障株式会社
42,後回し,66,新卒シグナル無し｜規模305=中堅(自前管理化が進む)｜電話妥当｜6月=28卒設計期係数92,10,40,60,92,50,INT:新卒シグナル無し / SIZE:規模305=中堅(自前管理化が進む) / REACH:電話妥当 / TIM:6月=28卒設計期係数92,株式会社システムイオ,1040001013715,,,,,info@systemio.co.jp,0.4,,03-6809-4802,https://www.systemio.co.jp/,D,gBizINFO,https://www.systemio.co.jp/,人事部 ご採用ご担当者様,コンピュータに関わる各種システムコンサルティング パソコン・大型汎用機に依る各種ソフトウェア開発 パソコン及び周辺機器の,千葉県千葉市美浜区中瀬２丁目６番地１ワールドビジネスガーデンマリブウエスト２４階,305,,,2026-06-14T18:55:01.232Z,,,,,,,,,,,,,,,,,,,,,,,A(300-1000),不人気:ソフト通信,,人事部 ご採用ご担当者様,株式会社システムイオ
42,後回し,66,新卒シグナル無し｜規模423=中堅(自前管理化が進む)｜電話妥当｜6月=28卒設計期係数92,10,40,60,92,50,INT:新卒シグナル無し / SIZE:規模423=中堅(自前管理化が進む) / REACH:電話妥当 / TIM:6月=28卒設計期係数92,株式会社カネマツ,1140001029825,,,,,info@kanematsu-group.co.jp,0.4,,078-325-2112,https://www.kanematsu-group.co.jp/,D,gBizINFO,https://www.kanematsu-group.co.jp/,人事部 ご採用ご担当者様,生活関連サービス業（娯楽業）,兵庫県神戸市中央区明石町３２番地,423,,,2026-06-14T18:56:10.205Z,,,,,,,,,,,,,,,,,,,,,,,A(300-1000),セグメント外判定(緩め採用),,人事部 ご採用ご担当者様,株式会社カネマツ
42,後回し,66,新卒シグナル無し｜規模302=中堅(自前管理化が進む)｜電話妥当｜6月=28卒設計期係数92,10,40,60,92,50,INT:新卒シグナル無し / SIZE:規模302=中堅(自前管理化が進む) / REACH:電話妥当 / TIM:6月=28卒設計期係数92,株式会社オンダ製作所,2200001006536,,,,,info@onda.co.jp,0.4,,0575-24-8585,https://www.onda.co.jp/,D,gBizINFO,https://www.onda.co.jp/,人事部 ご採用ご担当者様,住宅関連部材の製造・販売,岐阜県山県市富永１８番地,302,,,2026-06-14T19:02:06.827Z,,,,,,,,,,,,,,,,,,,,,,,A(300-1000),不人気:メーカー,,人事部 ご採用ご担当者様,株式会社オンダ製作所
89,今週架電,78,新卒フラグ確定｜規模126=スイート(50-150)｜電話妥当｜6月=28卒設計期係数92,93,100,68,92,80,INT:新卒フラグ確定 / INT:募集職種5=選考管理が複雑 / SIZE:規模126=スイート(50-150) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立41年=継続採用の体力,株式会社システムリサーチ,1140001056258,,,,山田良作,info@sr-co.co.jp,0.4,,0796-42-4435,https://www.sr-co.co.jp/about/wlb/,C,gBizINFO,https://www.sr-co.co.jp/about/wlb/,人事部 ご採用ご担当者様,ソフトウェア開発・機器販売,兵庫県豊岡市日高町国分寺１５８番地１,126,,1985,2026-06-14T18:26:48.963Z,○,,,,0,,,,,,,エンジニア/営業/事務/介護/コンサル,○,https://www.sr-co.co.jp/recruit/,○,,,,,,,,B(100-299),不人気:ソフト通信,,人事部 ご採用ご担当者様,株式会社システムリサーチ
83,今週架電,77,新卒フラグ確定｜規模182=スイート上限超(150-250)｜電話妥当｜6月=28卒設計期係数92,93,76,68,92,80,INT:新卒フラグ確定 / INT:募集職種4=選考管理が複雑 / SIZE:規模182=スイート上限超(150-250) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立78年=継続採用の体力,商船三井テクノトレード株式会社,1010001074512,,,,福島正男,info@motech.co.jp,0.4,,045-228-8808,https://www.motech.co.jp/,C,gBizINFO,https://www.motech.co.jp/,人事部 ご採用ご担当者様,船舶用の燃料油・潤滑油の販売、各種機器・資材・部品・通信関連機材の販売など,東京都千代田区神田錦町２丁目２番地１,182,,1948,2026-06-14T18:25:31.298Z,○,,,,0,,,,,,,営業/事務/企画/販売,○,https://www.motech.co.jp/recruit/,○,,,,,,,,B(100-299),不人気:メーカー,,人事部 ご採用ご担当者様,商船三井テクノトレード株式会社
